Adam	n. 亚当
dad	n. 父亲；爸爸|n. 爸爸（称呼）|n. 大叔；老兄|v. 像父亲一样抚养|v. 表现得像爸爸|n. 一块；一团|n. 重击；砰的一下|n. 数字录音、模拟混音、数字制版|n. 弥漫性肺泡损伤|n. 荷兰天使龙|v. 猛扔；猛撞
daffodil	n. 水仙花|a. 水仙花色的
daguerreotype	n. 达盖尔银板照相法|v. 用达盖尔银板法照相
daily	adj. 每天的；每日的|adv. 每天；每日地|n. 每日产生或使用的东西|n. 英国用法：每日出现的事物|n. 英国俚语：每天的日常事物|n. 美国口语：日常代步车|n. 美国用法：每日播出或制作的媒体内容|v. 把车作为日常用车频繁驾驶|adj. 白天的|adv. 在白天
daimler	n. Daimler汽车
dairy	adj. 乳制品的|n. 乳制品加工场|n. 乳制品|adj. 含乳的；乳制来源的|adj. 乳业的|adj. 乳脂来源的|n. 奶牛场|n. 乳制品店|n. 便利店（新西兰）|n. 女性乳房（粗俗俚语）
dale	n. 谷地|n. 唱片凹槽|n. 排水槽
dam	n. 水坝|n. 坝形成的水库|v. 筑坝拦水|n. 牙科隔湿片|n. 数字资产管理|adj. 该死的；讨厌的|intj. 该死！|n. 水库|n. 高炉炉床前墙|n. 母兽|n. 跳棋王棋|n. 印度旧铜币
damage	n. 损坏；损害|v. 损坏；损害|n. 账单金额|v. 受到损害|v. 下架处理受损商品
damn	adj. 该死的；他妈的|adv. 非常；极其|intj. 该死；糟了|n. 在意；关心|n. 一点点；丝毫|v. 判罪；使受诅咒|v. 判定有罪；判罚|v. 使失去好评；使名声受损|v. 谴责为不合格或不可接受|v. 诅咒；咒骂|n. 一句诅咒|n. 二氨基马来腈的缩写
damp	adj. 潮湿的|n. 湿气；潮湿|v. 减弱振动；阻尼|adj. 沮丧的；泄气的|adj. 允许自带酒水但不卖酒的|n. 雾气；蒸汽|n. 扫兴；沮丧|n. 矿井有害气体|n. 损伤相关分子模式|n. 注意、运动控制及知觉障碍|v. 使变潮湿|v. 扑灭；削弱
dampen	v. 削弱；使减弱|v. 使变湿|v. 变得潮湿|v. 抑制振动或振荡|v. 变弱；减弱
danaher	达纳赫（人名）
dance	n. 舞蹈；跳舞动作|v. 跳舞|n. 舞会|n. 舞蹈艺术|n. 舞曲音乐|n. 舞曲；一支舞|n. 周旋；斗智|v. 轻快地移动；闪动|v. 跳某种舞|n. 艰难的动作或任务|n. 蜜蜂舞|n. 锯齿状横纹
danger	n. 危险；危险处境|n. 危险因素；风险|n. 恶作剧；捣乱|n. 铁路停车信号|n. 伤害或惩罚他人的权力|n. 法律责任|n. 困难；犹豫不决|n. 讨厌或古怪的人|v. 承担责任|v. 使陷入危险|v. 冒险
dangerous	adj. 有危险的|adj. 会造成伤害的|adj. 生命垂危的
dangerously	adv. 危险地；达到令人担心的程度
danish	adj. 丹麦的；丹麦人的|n. 丹麦酥（简称）|n. 丹麦酥|n. 丹麦人（总称）|adj. 像 Dan 的
dare	n. 挑战某人证明胆量|v. 敢于做某事|v. 向某人挑战做某事|n. 大胆无畏|n. 挑衅；向人发起挑战|n. 真心话大冒险中的挑战|v. 勇敢面对|n. 一种小鱼|v. 使害怕；使畏缩|v. 把云雀惊到地面捕捉|v. 呆望；惊愕地凝视|v. 害怕得伏下
dark	adj. 黑暗的；光线不足的|adj. 颜色深的|n. 黑暗|adj. 昏暗的；难以看清的|adj. 含义隐晦的|adj. 秘密进行的|adj. 邪恶的；阴险的|adj. 令人绝望的；阴郁的|adj. 悲惨的；沉重的|adj. 阴暗的；涉及悲惨或怪诞内容的|n. 无知；不知情|n. 天黑；夜幕降临
darkness	n. 没有光；黑暗|n. 阴郁；压抑|n. 精神上的蒙昧；缺乏同情|n. 颜色的深暗|n. 黑暗笼罩的地方|n. 秘密；隐瞒|n. 无知；晦涩；未知|n. 变暗后的结果|n. 虚无；空洞|n. 地狱；邪恶力量
darling	adj. 亲爱的；珍爱的|n. 亲爱的；亲昵称呼|adj. 可爱的；讨人喜欢的|n. 可爱的人；讨人喜欢的东西|n. 宠儿；最受偏爱者|n. 公众宠儿；受追捧者|n. 宠儿；受偏爱者（旧）|v. 称某人为亲爱的
dash	n. 横线；破折号|n. 短跑；疾奔|v. 飞快跑；冲|v. 赶紧离开|v. 毁掉；使落空|n. 摩尔斯电码中的长划|n. 猛冲；猛烈袭来|n. 猛击；重重一击|n. 少量|n. 一丝；少许|n. 神采；干劲|n. 仪表板的简称
data	n. 计算机中的信息数据|n. 作为依据的事实材料|n. 移动网络流量
database	n. 资料库；数据库|n. 结构化数据库|n. 数据库软件|n. 数据库系统|v. 录入数据库
date	n. 日期标注|n. 定好的日期|n. 恋爱约会|v. 确定事件日期|v. 与某人交往|v. 彼此交往|n. 枣|n. 枣椰树|n. 某个时间|n. 预先约定的见面|n. 约会对象|v. 给文件注明日期
datum	n. 论据, 材料, 资料, 已知数
daughter	n. 女儿|n. 女性后代|n. 子语言|n. 衰变产物核素|n. 子项、后继项|n. 创作者塑造的女性角色|n. 对年轻女性的称呼
daunting	adj. 令人害怕的|adj. 艰巨得令人望而生畏的|adj. 气势逼人的；令人震撼的|n. 使人畏惧|v. daunt 的现在分词和动名词
davidson	n. 戴维森（姓氏）
dawn	n. 黎明；破晓前后|n. 开端；初期|v. 天开始亮|v. 逐渐意识到|n. 日出|n. 太阳升起的时刻|v. 开始显现；初露希望
day	n. 白天|n. 一天；二十四小时左右|n. 从清晨开始的一天|n. 日历中的一天|n. 行星自转一周的时间|n. 工作日或上学日|n. 纪念日；节日|n. 时代；某人或某物盛行的时期|n. 一天内的较量或胜负|v. 在某地度过一天
day-by-day	adj. 每天的
day-job	全日性工作
day-to-day	adj. 日常的；琐碎平常的|adj. 每天发生的|adj. 每天重新评估的|adv. 一天一天地|n. 日常生活；平凡琐事
daybreak	n. 黎明；破晓时分
daylight	n. 太阳光；日光|n. 白昼；日间|v. 使暴露在日光下|n. 模拟日光的光源|n. 天亮；黎明|n. 公开审视；曝光|n. 开阔的空当|n. 分歧；隔阂|n. 明显差别；区别|n. 杯中饮料与杯口的空隙|v. 引入自然采光|v. 让光线进入
daytime	adj. 白天发生的|n. 白天；日间|adj. 白天的；适合白天的
dazzle	n. 耀眼强光|n. 令人目眩的华丽光彩|v. 使看不清|v. 使眼花缭乱|v. 被强光弄得看不清|n. 斑马群|n. 特殊迷彩
dazzlingly	adv. 耀眼地；灿烂地
de	intj. 哼唱音节|n. 西里尔字母名|n. 桌面环境|n. 微分方程|n. 硅藻土|n. 护航驱逐舰|n. 射精延迟|n. 矮椭圆星系|prep. 贵族称号中的“的”
dead	adj. 死的；去世的|adj. 断电的；无信号的|adv. 恰好；完全|v. 杀死|adj. 没有生物的；荒芜的|adj. 没有生气的|adj. 被彻底疏远的|adj. 注定要完蛋的|adj. 没有表情的|adj. 沉闷无趣的|adj. 闲置无产出的|adj. 过去的；消逝的
deadline	n. 最后期限；截止日期|n. 印刷界线|n. 固定不动的线|n. 监狱警戒线|v. 使无法执行任务；使停飞
deadly	adj. 致命的|adj. 怀有毁灭性敌意的|adj. 极其准确的|adj. 极其无聊的|adv. 显得极其苍白地|adv. 极其；非常|adj. 会死的；有死期的|adj. 非常棒的|adv. 致命地
deaf	adj. 听不见的；失聪的|adj. 对劝告充耳不闻的|adj. 与聋人社群有关的|adj. 聋人文化的|adj. 模糊而低沉的|adj. 腐坏或无用的|n. 聋人|v. 使听不见
deal	n. 一份；一部分|n. 划算的交易|n. 协议；安排|v. 应对；处理；设法解决|adj. 软木制的|n. 很多；相当多|n. 发牌；一轮牌|n. 交易；买卖|n. 情况；事情|n. 东西；物件|n. 性格问题；个人状况|n. 软木材料
dealer	n. 经销商；中间商|n. 发牌者|n. 毒品贩子|n. 证券交易员|n. 施加或分派某物的人
dealership	n. 经销店；汽车经销商门店
dealing	n. 商业交易|n. 待人处事；相处方式|v. deal 的现在分词和动名词
dean	n. 大学或学院院长|n. 教会高级职员|n. 群体中资历最深者|n. 山丘|v. 担任院长|v. 送去见院长
dear	adj. 昂贵的|adj. 亲爱的；惹人喜爱的|adj. 信件开头的正式称呼|adj. 亲切的；体贴的|adj. 深情的；真挚的|adj. 珍贵的；极受重视的|adj. 亲切称呼中的“亲爱的”|adj. 带讽刺意味的称呼|intj. 哎呀；天哪|n. 亲切可爱的人|n. 亲爱的人|n. 亲爱的；亲昵称呼
dearth	n. 食物匮乏；饥荒|n. 短缺；缺乏|n. 稀少所造成的昂贵|v. 使短缺
death	n. 生命终止|n. 死神形象|n. 彻底结束|n. 令人难以承受的终结或后果|n. 精神上的死寂
debate	n. 正式辩论；有组织的讨论|n. 友好的观点交锋|v. 参加辩论；争论|n. 对相反观点的泛指讨论|v. 反复考虑；权衡|n. 中世纪辩论体文学作品|n. 冲突；不和|v. 战斗|v. 为某事而斗争
deborah	n. 黛博拉（女子名）
debt	n. 应尽的义务或应还的人情|n. 欠下的钱|n. 亏欠某人的状态|n. 追讨欠款的诉讼
debut	n. 首次公开登场|n. 作品首次公开呈现|v. 正式推出|v. 首次正式亮相|n. 初次进入社交界|n. 十八岁成年礼
dec	n. 递减；减量|n. 声明；声明事项|n. 装饰|adj. 已声明的|n. 乙胺嗪|n. 碳酸二乙酯|n. 脱落的上皮细胞|v. 减少针数
decade	n. 十年；十年时期|n. 十个一组|n. 十个组成的一组|n. 十倍分档装置|n. 十比一的数量范围
decay	n. 腐坏；腐烂|n. 衰退；衰败|v. 逐渐恶化；衰退|v. 腐烂；变质|n. 衰退；衰败（省略用法）|v. 发生放射性衰变|v. 使腐烂；使恶化|n. 覆灭；毁灭|n. 数组退化|v. 发生光学衰减|v. 因阻力而失速|v. 数组退化为指针
deceit	n. 诡计；骗局|n. 欺骗性；欺诈本质|n. 欺骗行为|n. 法律上的欺诈性虚假陈述
deceive	v. 欺骗；误导
decent	adj. 合适的；恰当的|adj. 正派的；有道德的|adj. 尚可的；还不错的|adj. 穿戴得体的|adj. 相当多的；可观的|adj. 符合良好品味的；得体的|adj. 匀称美观的|n. descent 的拼写错误
decentralise	vi.vt. 分散, 以分权的方法进行的变革, 分权
deception	n. 欺骗；误导行为
deceptive	adj. 具有欺骗性；容易误导
deceptiveness	n. 虚伪；迷惑骗人
decibel	n. 分贝
decide	v. 决定结果；解决争议|v. 作出判断；决定怎么做|v. 使某人改变主意|v. 判定所有输入|v. 切开；分隔
decider	n. 决策者；裁决者|n. 决胜局；决定性比赛|n. 必停机判定机
decimal	adj. 十进制的；小数计算的|n. 小数；十进制数|n. 十进制|n. 小数位|n. 小数点|n. 一种旧式单位名称|v. 写成小数形式
decimation	n. 每十人杀一人, 大批杀害
decision	n. 作出决定|n. 决定；判断|n. 果断；坚定|n. 裁判判定的胜负|n. 投手胜负判定|v. 靠裁判判定获胜
decision-maker	n. 决策人
decision-making	n. 决策|a. 决策的
decisive	adj. 决定性的|adj. 果断的；迅速坚决的|adj. 明确的；有定论的
decisiveness	果断性
deck	n. 平台；露台|n. 甲板|n. 一副牌|n. 玩家的牌组|n. 副标题|n. 演示文稿；幻灯片组|n. 地板|n. 舞台|n. 磁带机|v. 击倒|v. 使对手无牌可抽|v. 装饰
declaim	v. 慷慨陈词, 演讲, 朗读
declaration	n. 正式声明；郑重宣告|n. 申报单；申报|n. 宣布这一行为；宣告过程|n. 声明；定义存在|n. 爱的表白|n. 宣布结束击球局|n. 起诉状
declare	v. 正式宣布；明确声称|v. 申报|v. 亮牌计分|v. 公布选举结果|v. 声明对象存在|v. 阐明；解释|v. 宣布结束击球|v. 宣战|v. 以信仰宣告
decline	n. 下降；下落|n. 下坡；向下的斜坡|n. 恶化；衰退|v. 下降；下落|v. 恶化；变弱|v. 拒绝；不愿做|n. 减少；降低|n. 拒绝；不接受|v. 使减少；使降低|v. 使变格|v. 使下沉；使向下弯|v. 转开；偏离
decorate	v. 装饰；点缀|v. 粉刷或贴壁纸改善室内外观|v. 布置室内空间|v. 授予勋章；授勋|adj. 装饰过的|v. 给代码附加功能
decoration	n. 装饰；装点|n. 装饰物；装饰品|n. 荣誉勋章；勋章|n. 免疫诱饵修饰|n. 翻修；装修
decrease	n. 减少量；下降幅度|v. 变少；降低|v. 使变少；减少|n. 编织中的减针
decree	n. 法令；正式命令|v. 以法令命令；正式裁定|n. 法院裁定|n. 神的旨意；天命|n. 海事或遗嘱认证法院的裁定
dedicate	v. 专门用于|v. 全心投入|v. 献给神或宗教用途|v. 题献作品给某人|v. 正式启用|v. 首次向公众展示|adj. 献身的；奉献的|n. 奉献者；献身者
dedication	n. 投入；奉献|n. 献词|n. 启用仪式；落成仪式|n. 权利让渡
deduce	v. 推导出结论|v. 有条理地整理或说明|v. 从来源取得|v. 源自某处|v. 扣除、减去|v. 带出、引出
deduct	v. 扣除；减去
deductible	adj. 可扣除的|n. 保险自付额
deduction	n. 演绎推理；演绎出的结论|n. 扣除额；扣除
deductive	a. 推论的, 演绎的
dee	n. 字母 D 的名称|n. dee 的另一种大小写形式|n. D 形的东西|n. 警探的口语说法|v. 做；干
deed	n. 行为；行动|n. 实际行动|n. 房产契据|n. 壮举；英勇行为|n. 法律契据|v. 以契据转让|n. 发生性关系
deem	v. 认定为；视为|v. 认为；想；判断|n. 判断；意见|v. 判决；定罪|v. 裁定；颁令|v. 施行法律
deep	adj. 深的；深入的|adj. 深刻的；复杂的|adj. 低沉的|adv. 深入地；在深处|n. 深处|adj. 达到某一深度的|adj. 落点很深的|adj. 位于深层的|adj. 浓重的；饱和度高的|adj. 沉睡的|adj. 久远的；古老的|adv. 深入地；深刻地
deepen	v. 使变深|v. 使感情更强烈|v. 使理解更深入|v. 变深|v. 使颜色或气氛更深沉|v. 使音调降低|v. 使关系更亲密|v. 使状态更沉、更稳|v. 变得更严重或强烈|v. 音调变低沉|v. 理解或技能变得更深入|v. 关系变得更亲密
deeply	adv. 非常；深深地|adv. 深深地；深入到很里面|adv. 深入地；深刻地|adv. 在深处|adv. 充分地；深深地|adv. 沉沉地；熟熟地|adv. 浓郁地；味道丰富地
deepwater	a. 深海的,海洋上的,靠近海洋的
deer	n. 鹿|n. 鹿肉|n. 动物（旧义）
default	n. 违约；未履行义务|n. 出厂默认设置|n. 没有其他选择时的结果|n. 默认值；预设标准|v. 违约；未履行义务|v. 自动采用默认值|n. 债务处于违约状态|n. 弃赛而输|n. 被告缺席应诉|v. 弃赛而输|n. 过失；疏忽|n. 缺少；不存在
defeat	n. 失败；败北|v. 打败；战胜|n. 击败；战胜|n. 挫败；使无效|v. 压制；使力量失效|v. 使无法实现；挫败|n. 毁坏；毁灭|v. 使无效；废止
defect	n. 缺陷；瑕疵|v. 叛离；转投另一方|n. 不足的数量；短缺|v. 逃离军队；临阵脱逃|v. 投奔敌军|v. 逃离本国并寻求庇护|n. 数学或科学中的不足量
defective	adj. 有缺陷的；不完整的|adj. 形式不全的|adj. 词根末辅音较弱的|adj. 不能表示全部音位区别的|adj. 省略元音标记字母的|adv. 以省略元音标记的方式|n. 有缺陷的人或物|n. 省略元音标记字母的词
defence	n. 防卫；保护|n. 防御手段；防护物|n. 辩护；辩解理由|n. 防守策略|n. 防守队；防守一方|n. 国防；军事防务|n. 禁令|v. 设防；加固
defend	v. 保护；抵御攻击|v. 为……辩护；支持|v. 为被告辩护|v. 采取防守打法|v. 卫冕；再次争取原有成绩|v. 以防守方式保存体力|v. 跟注加注|v. 击退；挡开|v. 阻止；使不能做|v. 禁止；不准
defendant	n. 民事案件中的被告|n. 刑事案件中的被告人|adj. 防御性的；用于防守的
defender	n. 保护者；捍卫者|n. 防守球员|n. 抵御进攻的战士|n. 辩护律师|n. 民事案件被告
defense	n. 防御；保护|n. 支持；辩护|n. 防守；防守队员|n. 法律辩护；被告方|n. 军事防务；国防体系|v. 防守|n. 禁令|v. 设防；保护
defensible	adj. 站得住脚的|adj. 易于防守的
defensive	adj. 防御性的；保护性的|adj. 用于威慑攻击的|adj. 以尽量降低风险的|adj. 敏感防备的；受不得批评的|adj. 属于防御而非进攻的|adj. 体育中的防守型的|adj. 处于防御姿态的|n. 防御手段；防御姿态
defer	v. 推迟；延期|v. 听从；尊重判断|v. 延后|v. 把选择权留到下半场|v. 迟延；暂不发生|v. 呈献；献给
deference	n. 恭敬；尊重|n. 礼让；听从意愿
deferential	a. 恭敬的
deficiency	n. 不足；不完善|n. （尤指营养或必需物质）缺乏|n. 曲线的亏缺量|n. 线性系统的余维
deficit	n. 不足；缺口|n. 财政赤字；收支缺口
define	v. 明确界定|v. 说明本质或身份|v. 说明词义|v. 划定边界|v. 要求说具体些|v. 规定符号所指|n. 编程宏|v. 裁定争论
definite	adj. 明确的；有确定范围的|adj. 确定无疑的|adj. 特指的|adj. 坚决的；已决定的|n. 特指表达|n. 已界定的事物
definitely	adv. 肯定地；毫无疑问地|adv. 明确果断地
definition	n. 词语或符号的定义|n. 本质的表述|n. 典型体现|n. 界定的过程|n. 确定界限|n. 定义的结果|n. 使之明确的能力|n. 图像或细节的清晰度|n. 声音的清晰度|n. 轮廓的分明度|n. 肌肉线条的清晰度|n. 程序或函数的定义
deforestation	n. 森林砍伐与清除|n. 消除程序中间结构
deform	vt. 使残缺, 使变形|vi. 变形
defy	v. 挑战；蔑视|v. 违抗；拒不服从|v. 不符合；不受……约束|n. 挑战；对抗|v. 断绝忠诚或约束
degenerate	adj. 退化的；恶化的|adj. 品格败坏的；堕落的|v. 逐渐恶化；退化|n. 堕落的人|v. 使退化；使变坏|adj. 功能退化的|adj. 多重对应的|adj. 退化的特殊形式|adj. 具有简并特征的|adj. 能级相同的
degradation	n. 降职或贬低|n. 力量或价值下降|n. 受辱或堕落的状态|n. 土地或岩石受侵蚀|n. 材料性能劣化|n. 材料逐渐分解|n. 物种或群体退化|n. 器官或身体退化
degrade	v. 降低身份或价值|v. 质量或纯度下降|v. 侵蚀并降低地形
degree	n. 学位|n. 角度单位|n. 温度单位|n. 经纬度单位|n. 形容词或副词的比较等级|n. 步骤或阶段|n. 程度|n. 多项式次数|n. 域扩张次数|n. 顶点的边数|n. 逻辑连接词数量|n. 圆弧曲率的角度表示
delay	n. 延误；耽搁|v. 推迟；延期|v. 使耽搁；使受阻|v. 拖延；迟迟不行动|n. 音频延迟效果|n. 延迟装置或延迟量|n. 棋类读秒前的宽限时间|v. 缓和；减弱|v. 稀释；调和|v. 平息；消解
delegate	n. 代表；代理人|n. 会议代表|v. 进行委派|v. 把任务交给某人|n. 立法机构代表|n. 方法引用对象|v. 委派子域管理权|adj. 被委派的|adj. 代表的；受委派的|n. 无表决权的立法代表
delegation	n. 委派；授权|n. 代表团|n. 委派机制|n. 法律上的义务履行委派
delete	n. 删除键|v. 删除；抹去|n. 删除操作|n. 删减版发行物|n. Delete 的另一种大小写形式|n. 删除控制字符|v. 击败；彻底打倒|v. 杀死
deletion	n. 被删除的内容|n. 删除的动作|n. 遗传物质缺失|n. 杀人行为
deli	n. 熟食店|n. 熟食
deliberate	adj. 故意的；有意为之的|adj. 经过审慎考虑的|v. 仔细权衡某事|v. 权衡利弊；反复思考|adj. 审慎作决定的；思虑周全的|adj. 从容缓慢的
deliberately	adv. 故意地；有意地|adv. 从容而缓慢地
deliberation	n. 慎重权衡|n. 正式审议
delicate	adj. 易损的；需小心处理的|adj. 纤细的；线条精巧的|adj. 轻柔洗涤用的|adj. 细腻谨慎的；体贴的|adj. 体弱的|adj. 宿醉不适的|adj. 精雅可口的|adj. 轻盈优美的|adj. 柔和浅淡的|adj. 讲究挑剔的|adj. 敏锐精细的|adj. 对微小变化敏感的
delicious	adj. 美味的；好吃的|adj. 令人愉快的；赏心悦目的|adj. 性感迷人的
deliciously	adv. 美味地；令人满足地
delight	n. 喜悦；快乐|v. 使某人非常高兴|n. 令人愉快的人或事物|v. 从某事中得到很大乐趣
delightful	adj. 令人愉快的
delinquency	n. 行为失范|n. 逾期债务|n. 刑事违法
deliver	v. 解救；使脱离危险|v. 送达；运送|v. 兑现；达到要求|v. 接生；使婴儿出生|v. 交给；移交|v. 发表；讲出|v. 施加；打出|v. 给药；施用药物|adj. 敏捷的；活跃的|v. 生下（孩子）|v. 使摆脱；使卸下|v. 表明；显示
delivery	n. 送达；配送|n. 送来的货物；包裹|n. 分娩；生产|n. 投球动作|n. 投出的一球|n. 说话或演唱的表达方式|n. 药物递送|n. 传球；传中球|n. 板球中的一球|n. 冰壶中的掷石|n. 外源 DNA 导入细胞
delusion	n. 顽固的错误信念|n. 被误导的状态|n. 具体的错误想法|n. 顽固不变的虚假信念
demand	n. 强烈要求|n. 要求或负担|v. 强硬要求|v. 使某人必须具备或付出|n. 购买需求|n. 特定价格下的购买量|n. 急切的要求|n. 命令|v. 声称有权得到|v. 强行要求解释|n. 峰值用电负荷|v. 传唤出庭
dement	vt. 使发狂
dementia	n. 痴呆；认知功能衰退|n. 疯狂；神志失常
demise	n. 死亡|n. 衰败、终结|n. 财产移转|n. 王位移交|n. 再入大气层时解体|v. 给予|v. 依法转让|v. 通过继承传递|v. 由继承而转移|v. 去世
democracy	n. 人民掌权的制度|n. 民主政体|n. 民主国家|n. 民主精神与信念
democrat	adj. 民主党的|n. 民主支持者|n. 民主支持者|n. 民主政体的统治者|n. 民主党成员或支持者|n. 美国民主党人|n. 大型敞篷马车
democratic	adj. 民主的|adj. 平等的；不摆等级架子的|adj. 民主党的；民主党有关的|adj. 民主党的|adj. 民主的（大写变体）|n. 民主主义者
democratize	v. (使)民主化
demographer	n. 人口统计学家
demographic	adj. 人口统计学的|n. 统计分类特征|n. 特定人群|n. 个人统计特征
demographics	n. 人口特征；人口群体
demolition	n. 拆除；拆毁工程
demonstrate	v. 演示用法|v. 显示或证明|v. 展示论证步骤|v. 参加或组织示威
demonstration	n. 演示；说明|n. 演示活动|n. 情感表达|n. 示威；抗议活动|n. 武力展示|n. 证明；论证|n. 非正式的演示
demoralization	n. 道德败坏, 堕落, 士气低落
demotivate	v. 使失去动力
denial	n. 否认某事属实|n. 拒绝承认问题存在|n. 逻辑上的否定|n. 拒绝提供或批准|n. 拒不承认责任|n. 心理防御性的否认|n. 否认历史事实|n. 撇清或不认某人
denote	v. 标示；指示|v. 表示字面含义|v. 使某事明确显现
denounce	v. 公开谴责|v. 正式控告|v. 宣布终止协议|v. 正式宣布|v. 威胁性宣布|v. 申领废弃矿权
dense	adj. 密度大的；稠密的|adj. 难懂的；晦涩的|adj. 密集的；拥挤的|adj. 厚密的；难以穿过的|adj. 不透光的；不透明的|adj. 理解迟钝的；不聪明的|adj. 稠密的（数学）|n. 灌木丛；密林
densely	adv. 密集地；稠密地
density	n. 质量密度|n. 分布密度|n. 概率密度|n. 愚钝
dental	adj. 牙齿的|adj. 牙科的|adj. 齿音的|adj. 舌冠音的|n. 动物牙齿护理|n. 齿音
dentist	n. 牙医|n. 对 Dengist 的故意误拼
dentistry	n. 牙科医学|n. 牙科治疗|n. 一次牙科手术|n. 牙科诊所
deny	v. 拒绝许可|v. 否认事实|v. 拒不给予|v. 剥夺|v. 阻止得分|v. 否认关系或责任|v. 拒绝做或接受
depart	v. 离开|v. 出发；启程|v. 去世|v. 消失；不复存在|v. 偏离；不遵循|n. 分开；分离|n. 离开；离别|v. 离开某地|v. 偏离受控飞行|v. 分配；分摊|v. 分开；使分离
department	n. 部分；分部|n. 领域；专长|n. 政府或机构部门|n. 方面；项目|n. 学校或组织内部的系、部门|n. 行政区；省级分区|n. 历史上的军事分区|n. 离开；离去
departure	n. 离开；出发|n. 偏离；不同做法|n. 去世；死亡|n. 航海中的东西向航程分量|n. 两端的东西向差值|n. 诉讼立场的改变|n. 分离；舍弃
depend	v. 取决于|v. 信赖；依靠|v. 悬挂；垂下|v. 悬而未决|v. 使取决于
dependable	adj. 可靠的；靠得住的|n. 可靠的人或事物
dependence	n. 依赖；依靠|n. 身心依赖；依赖性
dependency	n. 依赖状态；缺乏主动性|n. 软件或系统对外部功能的依赖|n. 从属关系|n. 法律上的受扶养关系|n. 对成瘾物质的依赖|n. 被依赖的软件组件|n. 属地；受外部统治的领土
dependent	adj. 依赖的；靠他人供养的|n. 受供养的人|adj. 取决于另一事件的；有条件关联的|adj. 向下垂的|n. 从属成分|adj. 依附于粒子的|adj. 低于心脏位置的|n. 非独立的动词形式|n. 缘起中的依存者
depict	v. 描绘；呈现|adj. 被描绘的
deplete	vt. 耗尽, 使衰竭
depletion	n. 耗尽；逐渐减少|n. 资源消耗过快|n. 资源逐年耗用|n. 医学上的排泄减负
deplore	vt. 悲悼, 哀叹, 对...深感遗憾
deploy	n. 软件上线；部署过程|v. 部署人员或资源|v. 展开并准备使用|v. 部署软件；上线系统|n. 军事部署
deposit	n. 银行存款|n. 定金；预付款|v. 放下；放置|v. 把钱存入账户|n. 矿藏；自然沉积物|n. 留下的沉积物|n. 押金|v. 存放；寄存|v. 托管资产|n. 寄存物|n. 存放处|v. 放下；摆脱
depositor	n. 存放者, 存款人
depredation	n. 掠夺, 破坏
depress	v. 压下；按下|v. 使沮丧；使情绪低落|v. 压低；使下降|v. 压低；使卑下|v. 降阶；降低方程的次数
depressant	a. 有镇静作用的|n. 镇静剂
depression	n. 抑郁；抑郁症|n. 低洼地|n. 经济衰退|n. 一段抑郁期|n. 低气压|n. 连续四个季度负增长|n. 按下；压低|n. 生理功能降低
deprivation	n. 被剥夺的状态；匮乏|n. 剥夺；夺去|n. 缺乏；不足|n. 剥夺教职或宗教职位
deprive	v. 剥夺；使失去|v. 使失去亲人|v. 解除神职
depth	n. 表面以下的深度|n. 前后方向的深度|n. 程度、强度或内涵|n. 低沉程度|n. 颜色深度|n. 立体感或景深|n. 最严重阶段|n. 最深处|n. 偏远深处|n. 概念的内容层次|n. 配合运转的一对齿轮|n. 弧面的拱高
deputy	n. 副手；代理人|n. 议员|n. 爱尔兰众议员|n. 副警长；治安官办公室警员|n. 矿井安全工作人员|n. 历史上的议员称呼|v. 任命为代理人
der	intj. “这不是很明显吗”|intj. 嘲笑某人愚蠢|adv. there 的非标准写法|intj. there 的非标准写法|n. there 的非标准词形|pron. there 的非标准代词形式
deregulate	[法] 解除管制
deregulatory	解除管制的
deride	vt. 嘲弄, 嘲笑
derive	v. 从……获得|v. 推导出结论|v. 源自|v. 查明词源|v. 由反应生成|v. 引水分流|v. 求导函数
descend	v. 使沿路向下；顺流而下|v. 向下走；下降|v. 是……的后代；源自|v. 降临；逐渐变坏|v. 出身于；社会地位降自|n. 下降；下坡处|v. 向下落到某处|v. 向下流动或沉降|v. 下到某处|v. 深入内心|v. 从来源传下
descendant	n. 后代；子孙|n. 派生物；后继者|n. 后代物种|adj. 向下的|adj. 由祖先传下来的|adj. 由某来源发展而来的|n. 后继语言|n. 后继词形|n. 下降点；降宫
descent	n. 下降；下行|n. 血统；出身|n. 下行路线|n. 斜坡；下坡通道|n. 衰落；下滑|n. 袭击；侵入|n. 下降理论中的胶合推广
describe	v. 用语言描述|v. 用线条描出|v. 形成几何结构|v. 为新分类单元作科学描述|v. 划分、分成类别
description	n. 文字描写；文字画像|n. 描述这一行为|n. 特征类别；种类|n. 物种正式记载|n. 语言描写实践|n. 语言描写调查
desert	adj. 荒无人烟的|n. 沙漠；荒地|v. 抛弃；遗弃|n. 贫瘠、缺乏某物的地方或环境|v. 擅离职守；逃离部队|n. 应得的惩罚或报偿|n. dessert 的旧拼法
deserve	v. 应得；值得得到|v. 赚得；赢得|v. 奖给；作为回报给予|v. 服务；款待；使受益
design	n. 解决问题的设计方案|n. 结构和功能的规划|v. 设计并制作|n. 图案或装饰样式|n. 作品的整体构成|n. 打算或计划|n. 恶意企图|n. 物品的外形与美观设计|n. 设计艺术或设计领域|v. 打算做某事|v. 指定或任命|v. 指出或标明
designate	adj. 已选定的；获任命的|v. 标明；指明|v. 指定用途或任务|adj. 候任的|v. 命名；称作
